===  Rect         Decl            NAME          J      dJ        H       dH      K       dK       status
  078.970661  -69.790665    0515529-694726   14.301   0.040   13.369   0.036   13.20   0.045           0
  078.959328  -69.773186    0515502-694623   15.680   0.075   14.865   0.088   14.68   0.126           0
  078.964288  -69.782951    0515514-694658   15.575   0.084   14.826   0.107   14.60   0.140           0
  078.954494  -69.740784    0515490-694426   15.093   0.053   14.294   0.055   14.03   0.077           0
  078.984022  -69.804771    0515561-694817   14.395   0.041   13.652   0.043   13.42   0.048           0
  078.956205  -69.767220    0515494-694601   15.934   0.092   15.171   0.118   14.90   0.150           0
  078.981243  -69.698334    0515554-694154   15.848   0.102   15.173   0.117   15.11   0.185           0
  078.960318  -69.723969    0515504-694326   15.455   0.062   14.813   0.082   14.62   0.131           0
  078.979397  -69.699806    0515550-694159   15.569   0.075   14.746   0.084   14.71   0.124           0
  078.963565  -69.718185    0515512-694305   15.966   0.165   15.319   0.130   15.08   0.168           0
  078.959207  -69.775528    0515502-694631   12.702   0.032   11.739   0.028   11.48   0.031           0
  078.976082  -69.798409    0515542-694754   15.049   0.057   14.271   0.060   14.01   0.069           0
  078.990484  -69.810814    0515577-694838   13.398   0.037   12.495   0.033   12.28   0.032           0
  078.953273  -69.762093    0515487-694543   13.826   0.040   13.114   0.035   12.92   0.036           0
  078.963657  -69.784645    0515512-694704   16.133   0.149   15.372   0.147   15.02   0.201           0
  078.977044  -69.800125    0515544-694800   14.865   0.058   14.077   0.053   14.01   0.085           0
  078.951446  -69.754921    0515483-694517   16.268   0.132   15.480   0.176   16.42   -9.99           0
  078.951561  -69.756744    0515483-694524   15.332   0.064   14.548   0.072   14.68   0.116           0
  078.993125  -69.813896    0515583-694850   15.215   0.073   14.641   0.100   14.41   0.127           0
  078.951636  -69.736519    0515483-694411   15.005   0.058   14.109   0.057   14.01   0.077           0
  078.958206  -69.720802    0515499-694314   14.752   0.045   13.900   0.049   13.74   0.069           0
  078.969812  -69.795700    0515527-694744   14.991   0.049   14.465   0.064   14.56   0.100           0
  078.948566  -69.749985    0515476-694459   15.783   0.095   15.013   0.111   14.78   0.127           0
  078.965675  -69.709160    0515517-694232   14.841   0.055   14.185   0.066   14.13   0.128           0
  078.951461  -69.733002    0515483-694358   14.724   0.043   13.832   0.045   13.68   0.053           0
  078.966457  -69.707672    0515519-694227   14.335   0.049   13.516   0.051   13.38   0.061           0
  078.991092  -69.815308    0515578-694855   13.833   0.037   12.946   0.035   12.75   0.032           0
  078.972957  -69.801186    0515535-694804   15.126   0.062   14.319   0.064   14.21   0.099           0
  078.984530  -69.689636    0515562-694122   16.274   0.134   15.391   0.149   14.87   -9.99           0
  078.959876  -69.714020    0515503-694250   14.737   0.046   14.338   0.093   14.42   0.116           0
  078.955144  -69.720764    0515492-694314   15.996   0.132   15.497   0.207   13.87   -9.99           0
  078.948534  -69.765762    0515476-694556   15.498   0.071   14.714   0.086   14.75   0.126           0
  078.962850  -69.791306    0515510-694728   15.102   0.056   14.333   0.060   14.17   0.085           0
  078.952954  -69.724312    0515487-694327   15.841   0.089   15.206   0.126   15.33   0.210           0
  078.945992  -69.757141    0515470-694525   15.919   0.094   15.016   0.100   15.15   0.199           0
  078.974784  -69.696396    0515539-694147   14.676   0.047   14.096   0.054   14.06   0.069           0
  078.952021  -69.777557    0515484-694639   16.344   0.145   15.240   -9.99   15.55   -9.99           0
  078.962465  -69.708359    0515509-694230   15.662   0.117   14.766   0.144   14.58   0.197           0
  078.949190  -69.771957    0515478-694619   15.012   0.049   14.312   0.058   14.06   0.078           0
  078.987260  -69.685776    0515569-694108   15.604   0.070   14.788   0.085   14.93   0.152           0
  078.956543  -69.715302    0515495-694255   15.732   0.156   14.636   0.134   14.46   0.149           0
